,data,codice_regione,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_test,note_casi
1335,2020-04-27T17:00:00,22,P.A. Trento,201,23,224,1483,1707,1881,407,3995,33152,20199.0,,
1336,2020-04-27T17:00:00,1,Piemonte,2830,214,3044,12464,15508,6712,2878,25098,139348,99144.0,,
1337,2020-04-27T17:00:00,16,Puglia,449,51,500,2412,2912,641,405,3958,56976,55897.0,,
1338,2020-04-27T17:00:00,20,Sardegna,97,19,116,660,776,398,109,1283,21395,19424.0,,
1339,2020-04-27T17:00:00,19,Sicilia,440,35,475,1648,2123,731,231,3085,70650,66749.0,,
1340,2020-04-27T17:00:00,9,Toscana,671,154,825,5158,5983,2401,795,9179,129048,100869.0,,
1341,2020-04-27T17:00:00,10,Umbria,90,16,106,181,287,1018,65,1370,32823,22492.0,,
1342,2020-04-27T17:00:00,2,Valle d'Aosta,86,7,93,142,235,743,133,1111,6551,4873.0,,
1343,2020-04-27T17:00:00,5,Veneto,1099,123,1222,7638,8860,7375,1344,17579,320027,192751.0,,
1344,2020-04-28T17:00:00,13,Abruzzo,312,21,333,1657,1990,599,310,2899,35356,27054.0,,
1345,2020-04-28T17:00:00,17,Basilicata,56,7,63,142,205,136,25,366,10889,10889.0,,
1346,2020-04-28T17:00:00,18,Calabria,113,6,119,645,764,248,85,1097,33755,31802.0,,
1347,2020-04-28T17:00:00,15,Campania,544,33,577,2225,2802,1220,358,4380,70566,42690.0,,
1348,2020-04-28T17:00:00,8,Emilia-Romagna,2574,228,2802,9201,12003,9439,3472,24914,172589,116624.0,,
1349,2020-04-28T17:00:00,6,Friuli Venezia Giulia,136,13,149,1090,1239,1478,278,2995,64151,41273.0,,
1350,2020-04-28T17:00:00,12,Lazio,1468,132,1600,2962,4562,1491,414,6467,128664,98968.0,,
1351,2020-04-28T17:00:00,7,Liguria,718,81,799,2772,3571,3060,1141,7772,45719,29794.0,,
1352,2020-04-28T17:00:00,3,Lombardia,7280,655,7935,27809,35744,25029,13575,74348,351423,216526.0,,
1353,2020-04-28T17:00:00,11,Marche,666,58,724,2610,3334,1948,893,6175,54313,36650.0,,
1354,2020-04-28T17:00:00,14,Molise,18,1,19,176,195,81,21,297,5776,5538.0,,
1355,2020-04-28T17:00:00,21,P.A. Bolzano,136,15,151,759,910,1316,272,2498,39130,18567.0,,
1356,2020-04-28T17:00:00,22,P.A. Trento,182,22,204,1361,1565,2048,412,4025,33839,20539.0,,
1357,2020-04-28T17:00:00,1,Piemonte,2701,202,2903,12603,15506,7008,2936,25450,144531,102514.0,,
1358,2020-04-28T17:00:00,16,Puglia,448,51,499,2420,2919,654,407,3980,58496,57574.0,,
1359,2020-04-28T17:00:00,20,Sardegna,96,18,114,658,772,404,109,1285,22116,20053.0,,
1360,2020-04-28T17:00:00,19,Sicilia,428,34,462,1681,2143,745,232,3120,73008,68729.0,,
1361,2020-04-28T17:00:00,9,Toscana,619,144,763,5133,5896,2524,811,9231,133617,103891.0,,
1362,2020-04-28T17:00:00,10,Umbria,80,17,97,178,275,1039,65,1379,33881,23263.0,,
1363,2020-04-28T17:00:00,2,Valle d'Aosta,81,5,86,123,209,775,135,1119,6897,5069.0,,
1364,2020-04-28T17:00:00,5,Veneto,1067,120,1187,7414,8601,7699,1408,17708,328218,196864.0,,
1365,2020-04-29T17:00:00,13,Abruzzo,309,19,328,1648,1976,632,315,2923,36614,27703.0,,
